Statename,State,FIPS,COUNTY,checker,plumbing,total,rank
Indiana,IN,18073,Jasper County,"Jasper County, Indiana",0.355,12117,2034
West Virginia,WV,54021,Gilmer County,"Gilmer County, West Virginia",0.354,2539,2035
Minnesota,MN,27063,Jackson County,"Jackson County, Minnesota",0.354,4520,2036
California,CA,6017,El Dorado County,"El Dorado County, California",0.354,67846,2037
Pennsylvania,PA,42037,Columbia County,"Columbia County, Pennsylvania",0.354,26012,2038
Alabama,AL,1059,Franklin County,"Franklin County, Alabama",0.354,12445,2039
Arkansas,AR,5095,Monroe County,"Monroe County, Arkansas",0.353,3396,2040
Florida,FL,12057,Hillsborough County,"Hillsborough County, Florida",0.353,466765,2041
Minnesota,MN,27035,Crow Wing County,"Crow Wing County, Minnesota",0.353,26916,2042
California,CA,6081,San Mateo County,"San Mateo County, California",0.353,257369,2043
Iowa,IA,19011,Benton County,"Benton County, Iowa",0.352,10230,2044
North Dakota,ND,38047,Logan County,"Logan County, North Dakota",0.351,854,2045
Oklahoma,OK,40093,Major County,"Major County, Oklahoma",0.351,3132,2046
Indiana,IN,18067,Howard County,"Howard County, Indiana",0.351,34168,2047
Arizona,AZ,4013,Maricopa County,"Maricopa County, Arizona",0.351,1402149,2048
Georgia,GA,13301,Warren County,"Warren County, Georgia",0.351,2282,2049
South Carolina,SC,45081,Saluda County,"Saluda County, South Carolina",0.350,6854,2050
Arkansas,AR,5001,Arkansas County,"Arkansas County, Arkansas",0.350,7997,2051
Texas,TX,48005,Angelina County,"Angelina County, Texas",0.350,30846,2052
Nebraska,NE,31025,Cass County,"Cass County, Nebraska",0.350,9714,2053
North Dakota,ND,38043,Kidder County,"Kidder County, North Dakota",0.349,1145,2054
Kansas,KS,20087,Jefferson County,"Jefferson County, Kansas",0.349,7455,2055
South Dakota,SD,46125,Turner County,"Turner County, South Dakota",0.349,3442,2056
Minnesota,MN,27151,Swift County,"Swift County, Minnesota",0.348,4308,2057
Illinois,IL,17149,Pike County,"Pike County, Illinois",0.348,6610,2058
Georgia,GA,13139,Hall County,"Hall County, Georgia",0.348,60994,2059
Iowa,IA,19183,Washington County,"Washington County, Iowa",0.347,8926,2060
Pennsylvania,PA,42125,Washington County,"Washington County, Pennsylvania",0.347,84123,2061
Texas,TX,48099,Coryell County,"Coryell County, Texas",0.347,20464,2062
Indiana,IN,18007,Benton County,"Benton County, Indiana",0.347,3462,2063
Ohio,OH,39039,Defiance County,"Defiance County, Ohio",0.346,15302,2064
Illinois,IL,17183,Vermilion County,"Vermilion County, Illinois",0.345,31863,2065
Virginia,VA,51059,Fairfax County,"Fairfax County, Virginia",0.345,388452,2066
Michigan,MI,26049,Genesee County,"Genesee County, Michigan",0.345,166386,2067
California,CA,6059,Orange County,"Orange County, California",0.345,990266,2068
Florida,FL,12005,Bay County,"Bay County, Florida",0.344,68862,2069
Kentucky,KY,21205,Rowan County,"Rowan County, Kentucky",0.344,8139,2070
Indiana,IN,18089,Lake County,"Lake County, Indiana",0.344,182028,2071
Virginia,VA,51730,Petersburg city,"Petersburg city, Virginia",0.343,12236,2072
North Carolina,NC,37025,Cabarrus County,"Cabarrus County, North Carolina",0.343,64484,2073
Virginia,VA,51179,Stafford County,"Stafford County, Virginia",0.342,41204,2074
Idaho,ID,16041,Franklin County,"Franklin County, Idaho",0.342,4098,2075
Georgia,GA,13099,Early County,"Early County, Georgia",0.342,4099,2076
Mississippi,MS,28085,Lincoln County,"Lincoln County, Mississippi",0.341,13184,2077
Minnesota,MN,27067,Kandiyohi County,"Kandiyohi County, Minnesota",0.341,17287,2078
Tennessee,TN,47017,Carroll County,"Carroll County, Tennessee",0.341,10855,2079
Pennsylvania,PA,42035,Clinton County,"Clinton County, Pennsylvania",0.340,15286,2080
Connecticut,CT,9005,Litchfield County,"Litchfield County, Connecticut",0.340,76149,2081
Illinois,IL,17037,DeKalb County,"DeKalb County, Illinois",0.340,37959,2082
Connecticut,CT,9011,New London County,"New London County, Connecticut",0.340,106817,2083
Georgia,GA,13109,Evans County,"Evans County, Georgia",0.340,4122,2084
Pennsylvania,PA,42003,Allegheny County,"Allegheny County, Pennsylvania",0.340,524392,2085
New York,NY,36107,Tioga County,"Tioga County, New York",0.340,20320,2086
Arkansas,AR,5033,Crawford County,"Crawford County, Arkansas",0.339,23276,2087
New Mexico,NM,35009,Curry County,"Curry County, New Mexico",0.339,17697,2088
Texas,TX,48367,Parker County,"Parker County, Texas",0.339,41640,2089
Illinois,IL,17035,Cumberland County,"Cumberland County, Illinois",0.338,4136,2090
Texas,TX,48049,Brown County,"Brown County, Texas",0.338,13302,2091
Oklahoma,OK,40137,Stephens County,"Stephens County, Oklahoma",0.338,17740,2092
Missouri,MO,29065,Dent County,"Dent County, Missouri",0.337,5927,2093
Kansas,KS,20177,Shawnee County,"Shawnee County, Kansas",0.337,73213,2094
Florida,FL,12095,Orange County,"Orange County, Florida",0.337,411125,2095
Massachusetts,MA,25023,Plymouth County,"Plymouth County, Massachusetts",0.336,179863,2096
Minnesota,MN,27121,Pope County,"Pope County, Minnesota",0.336,4757,2097
Illinois,IL,17161,Rock Island County,"Rock Island County, Illinois",0.336,60670,2098
Ohio,OH,39099,Mahoning County,"Mahoning County, Ohio",0.336,98460,2099
Missouri,MO,29097,Jasper County,"Jasper County, Missouri",0.336,45005,2100
Pennsylvania,PA,42025,Carbon County,"Carbon County, Pennsylvania",0.335,26256,2101
Utah,UT,49007,Carbon County,"Carbon County, Utah",0.335,7760,2102
Utah,UT,49003,Box Elder County,"Box Elder County, Utah",0.335,16117,2103
Kentucky,KY,21033,Caldwell County,"Caldwell County, Kentucky",0.334,5092,2104
Wisconsin,WI,55077,Marquette County,"Marquette County, Wisconsin",0.333,6598,2105
Georgia,GA,13031,Bulloch County,"Bulloch County, Georgia",0.333,25194,2106
Illinois,IL,17201,Winnebago County,"Winnebago County, Illinois",0.333,113119,2107
Missouri,MO,29071,Franklin County,"Franklin County, Missouri",0.333,39038,2108
Missouri,MO,29209,Stone County,"Stone County, Missouri",0.333,13216,2109
Texas,TX,48041,Brazos County,"Brazos County, Texas",0.332,68936,2110
Massachusetts,MA,25005,Bristol County,"Bristol County, Massachusetts",0.332,209532,2111
Louisiana,LA,22059,La Salle Parish,"La Salle Parish, Louisiana",0.332,5718,2112
Nebraska,NE,31179,Wayne County,"Wayne County, Nebraska",0.332,3318,2113
Georgia,GA,13095,Dougherty County,"Dougherty County, Georgia",0.331,35918,2114
West Virginia,WV,54057,Mineral County,"Mineral County, West Virginia",0.331,11183,2115
Michigan,MI,26035,Clare County,"Clare County, Michigan",0.331,13301,2116
New York,NY,36117,Wayne County,"Wayne County, New York",0.330,36646,2117
Illinois,IL,17045,Edgar County,"Edgar County, Illinois",0.330,7879,2118
Idaho,ID,16085,Valley County,"Valley County, Idaho",0.330,3637,2119
Minnesota,MN,27163,Washington County,"Washington County, Minnesota",0.330,88216,2120
Oklahoma,OK,40041,Delaware County,"Delaware County, Oklahoma",0.329,16395,2121
Georgia,GA,13219,Oconee County,"Oconee County, Georgia",0.329,11239,2122
Missouri,MO,29187,St. Francois County,"St. Francois County, Missouri",0.329,24615,2123
Iowa,IA,19187,Webster County,"Webster County, Iowa",0.329,15808,2124
South Dakota,SD,46005,Beadle County,"Beadle County, South Dakota",0.329,7296,2124
Arkansas,AR,5049,Fulton County,"Fulton County, Arkansas",0.329,4865,2126
Illinois,IL,17079,Jasper County,"Jasper County, Illinois",0.329,3955,2127
Georgia,GA,13111,Fannin County,"Fannin County, Georgia",0.329,10040,2128
Nebraska,NE,31135,Perkins County,"Perkins County, Nebraska",0.328,1219,2129
Iowa,IA,19095,Iowa County,"Iowa County, Iowa",0.328,6717,2130
Minnesota,MN,27079,Le Sueur County,"Le Sueur County, Minnesota",0.328,10992,2131
North Dakota,ND,38083,Sheridan County,"Sheridan County, North Dakota",0.327,611,2132
Kansas,KS,20195,Trego County,"Trego County, Kansas",0.327,1224,2133
North Dakota,ND,38031,Foster County,"Foster County, North Dakota",0.327,1530,2133
Michigan,MI,26137,Otsego County,"Otsego County, Michigan",0.326,9807,2135
New York,NY,36059,Nassau County,"Nassau County, New York",0.326,442869,2136
Florida,FL,12101,Pasco County,"Pasco County, Florida",0.326,182707,2137
North Carolina,NC,37169,Stokes County,"Stokes County, North Carolina",0.326,19326,2138
Kentucky,KY,21007,Ballard County,"Ballard County, Kentucky",0.326,3379,2139
Illinois,IL,17131,Mercer County,"Mercer County, Illinois",0.325,6768,2140
Alabama,AL,1089,Madison County,"Madison County, Alabama",0.325,131263,2141
Texas,TX,48189,Hale County,"Hale County, Texas",0.325,11709,2142
Iowa,IA,19149,Plymouth County,"Plymouth County, Iowa",0.324,9882,2143
Minnesota,MN,27141,Sherburne County,"Sherburne County, Minnesota",0.324,29968,2144
Kansas,KS,20155,Reno County,"Reno County, Kansas",0.324,25952,2145
Texas,TX,48387,Red River County,"Red River County, Texas",0.324,4945,2146
Florida,FL,12119,Sumter County,"Sumter County, Florida",0.323,41814,2147
Kentucky,KY,21005,Anderson County,"Anderson County, Kentucky",0.323,8369,2148
Georgia,GA,13009,Baldwin County,"Baldwin County, Georgia",0.323,16433,2149
Texas,TX,48103,Crane County,"Crane County, Texas",0.322,1551,2150
Missouri,MO,29031,Cape Girardeau County,"Cape Girardeau County, Missouri",0.322,29502,2151
New York,NY,36015,Chemung County,"Chemung County, New York",0.322,35452,2152
Pennsylvania,PA,42069,Lackawanna County,"Lackawanna County, Pennsylvania",0.322,86155,2153
Ohio,OH,39061,Hamilton County,"Hamilton County, Ohio",0.321,326023,2154
Nebraska,NE,31027,Cedar County,"Cedar County, Nebraska",0.320,3435,2155
Arkansas,AR,5119,Pulaski County,"Pulaski County, Arkansas",0.320,155516,2156
Missouri,MO,29189,St. Louis County,"St. Louis County, Missouri",0.320,404151,2157
Iowa,IA,19113,Linn County,"Linn County, Iowa",0.320,85654,2158
Virginia,VA,51079,Greene County,"Greene County, Virginia",0.320,6884,2159
New Jersey,NJ,34029,Ocean County,"Ocean County, New Jersey",0.319,222970,2160
Pennsylvania,PA,42129,Westmoreland County,"Westmoreland County, Pennsylvania",0.319,153064,2161
Florida,FL,12113,Santa Rosa County,"Santa Rosa County, Florida",0.319,56475,2162
Alabama,AL,1033,Colbert County,"Colbert County, Alabama",0.319,22290,2163
Ohio,OH,39027,Clinton County,"Clinton County, Ohio",0.318,16018,2164
Iowa,IA,19037,Chickasaw County,"Chickasaw County, Iowa",0.318,5341,2165
Kansas,KS,20043,Doniphan County,"Doniphan County, Kansas",0.318,3142,2166
New Hampshire,NH,33017,Strafford County,"Strafford County, New Hampshire",0.318,46821,2167
Kansas,KS,20079,Harvey County,"Harvey County, Kansas",0.318,13204,2168
Kansas,KS,20055,Finney County,"Finney County, Kansas",0.318,12261,2169
Kansas,KS,20205,Wilson County,"Wilson County, Kansas",0.318,3777,2170
New Jersey,NJ,34009,Cape May County,"Cape May County, New Jersey",0.317,43514,2171
Ohio,OH,39031,Coshocton County,"Coshocton County, Ohio",0.317,14516,2172
Indiana,IN,18113,Noble County,"Noble County, Indiana",0.316,17706,2173
North Carolina,NC,37191,Wayne County,"Wayne County, North Carolina",0.316,47482,2174
South Dakota,SD,46135,Yankton County,"Yankton County, South Dakota",0.316,8548,2175
Texas,TX,48287,Lee County,"Lee County, Texas",0.315,6026,2176
South Carolina,SC,45051,Horry County,"Horry County, South Carolina",0.315,113412,2177
Mississippi,MS,28041,Greene County,"Greene County, Mississippi",0.315,4131,2178
Georgia,GA,13141,Hancock County,"Hancock County, Georgia",0.315,2860,2179
Nebraska,NE,31143,Polk County,"Polk County, Nebraska",0.315,2225,2180
Iowa,IA,19077,Guthrie County,"Guthrie County, Iowa",0.315,4768,2181
Idaho,ID,16011,Bingham County,"Bingham County, Idaho",0.314,14638,2182
Florida,FL,12093,Okeechobee County,"Okeechobee County, Florida",0.314,13369,2183
New York,NY,36071,Orange County,"Orange County, New York",0.314,125180,2184
North Carolina,NC,37057,Davidson County,"Davidson County, North Carolina",0.314,64699,2185
Montana,MT,30031,Gallatin County,"Gallatin County, Montana",0.314,36659,2186
Missouri,MO,29123,Madison County,"Madison County, Missouri",0.314,4783,2187
Alabama,AL,1115,St. Clair County,"St. Clair County, Alabama",0.313,30970,2188
Maryland,MD,24003,Anne Arundel County ,"Anne Arundel County , Maryland",0.313,198761,2189
Florida,FL,12091,Okaloosa County,"Okaloosa County, Florida",0.313,72300,2190
Iowa,IA,19023,Butler County,"Butler County, Iowa",0.312,6084,2191
North Carolina,NC,37159,Rowan County,"Rowan County, North Carolina",0.312,52878,2192
Montana,MT,30003,Big Horn County,"Big Horn County, Montana",0.311,3532,2193
Georgia,GA,13075,Cook County,"Cook County, Georgia",0.311,6430,2194
New York,NY,36035,Fulton County,"Fulton County, New York",0.311,22511,2195
Texas,TX,48245,Jefferson County,"Jefferson County, Texas",0.310,92754,2196
Iowa,IA,19099,Jasper County,"Jasper County, Iowa",0.310,14815,2197
Minnesota,MN,27049,Goodhue County,"Goodhue County, Minnesota",0.310,18690,2198
Virginia,VA,51153,Prince William County,"Prince William County, Virginia",0.310,129643,2199
Washington,WA,53011,Clark County,"Clark County, Washington",0.309,158365,2200
Michigan,MI,26099,Macomb County,"Macomb County, Michigan",0.309,330596,2201
Virginia,VA,51820,Waynesboro city,"Waynesboro city, Virginia",0.309,8734,2202
Virginia,VA,51035,Carroll County,"Carroll County, Virginia",0.309,12622,2203
Alabama,AL,1057,Fayette County,"Fayette County, Alabama",0.309,7129,2204
Maryland,MD,24023,Garrett County,"Garrett County, Maryland",0.308,12354,2205
Utah,UT,49035,Salt Lake County,"Salt Lake County, Utah",0.307,341841,2206
Pennsylvania,PA,42051,Fayette County,"Fayette County, Pennsylvania",0.307,54730,2207
South Carolina,SC,45073,Oconee County,"Oconee County, South Carolina",0.307,30300,2208
California,CA,6111,Ventura County,"Ventura County, California",0.306,265951,2209
Louisiana,LA,22087,St. Bernard Parish,"St. Bernard Parish, Louisiana",0.306,13081,2210
North Carolina,NC,37097,Iredell County,"Iredell County, North Carolina",0.305,59593,2211
Maryland,MD,24001,Allegany County,"Allegany County, Maryland",0.305,28537,2212
Nebraska,NE,31093,Howard County,"Howard County, Nebraska",0.304,2629,2213
Tennessee,TN,47091,Johnson County,"Johnson County, Tennessee",0.304,7233,2214
Massachusetts,MA,25003,Berkshire County,"Berkshire County, Massachusetts",0.304,55612,2215
North Carolina,NC,37115,Madison County,"Madison County, North Carolina",0.304,8228,2216
Georgia,GA,13275,Thomas County,"Thomas County, Georgia",0.304,17462,2217
Tennessee,TN,47163,Sullivan County,"Sullivan County, Tennessee",0.303,66595,2218
Georgia,GA,13217,Newton County,"Newton County, Georgia",0.303,33646,2219
North Carolina,NC,37049,Craven County,"Craven County, North Carolina",0.303,40274,2220
North Carolina,NC,37175,Transylvania County,"Transylvania County, North Carolina",0.302,13893,2221
Illinois,IL,17041,Douglas County,"Douglas County, Illinois",0.302,7613,2222
North Carolina,NC,37059,Davie County,"Davie County, North Carolina",0.302,16219,2222
Florida,FL,12117,Seminole County,"Seminole County, Florida",0.302,148635,2224
California,CA,6005,Amador County,"Amador County, California",0.302,14236,2225
Iowa,IA,19179,Wapello County,"Wapello County, Iowa",0.302,14570,2226
Utah,UT,49057,Weber County,"Weber County, Utah",0.302,79601,2227
Nebraska,NE,31089,Holt County,"Holt County, Nebraska",0.301,4314,2228
Colorado,CO,8101,Pueblo County,"Pueblo County, Colorado",0.301,62090,2229
Texas,TX,48219,Hockley County,"Hockley County, Texas",0.301,7978,2230
Virginia,VA,51540,Charlottesville city,"Charlottesville city, Virginia",0.300,17319,2231
Tennessee,TN,47105,Loudon County,"Loudon County, Tennessee",0.300,19662,2232
North Carolina,NC,37089,Henderson County,"Henderson County, North Carolina",0.300,44997,2233
Colorado,CO,8015,Chaffee County,"Chaffee County, Colorado",0.299,7680,2234
Pennsylvania,PA,42077,Lehigh County,"Lehigh County, Pennsylvania",0.299,133302,2235
Texas,TX,48111,Dallam County,"Dallam County, Texas",0.299,2339,2236
Michigan,MI,26161,Washtenaw County,"Washtenaw County, Michigan",0.299,134883,2237
Wisconsin,WI,55117,Sheboygan County,"Sheboygan County, Wisconsin",0.299,46211,2238
Montana,MT,30111,Yellowstone County,"Yellowstone County, Montana",0.298,60706,2239
Georgia,GA,13051,Chatham County,"Chatham County, Georgia",0.298,101727,2240
Missouri,MO,29207,Stoddard County,"Stoddard County, Missouri",0.297,12115,2241
Kentucky,KY,21031,Butler County,"Butler County, Kentucky",0.297,5052,2242
California,CA,6069,San Benito County,"San Benito County, California",0.297,16840,2242
Georgia,GA,13305,Wayne County,"Wayne County, Georgia",0.296,10120,2244
North Carolina,NC,37037,Chatham County,"Chatham County, North Carolina",0.296,25697,2245
Maryland,MD,24021,Frederick County,"Frederick County, Maryland",0.296,85559,2246
Mississippi,MS,28033,DeSoto County,"DeSoto County, Mississippi",0.296,57518,2247
Michigan,MI,26011,Arenac County,"Arenac County, Michigan",0.295,6435,2248
Nebraska,NE,31127,Nemaha County,"Nemaha County, Nebraska",0.295,3052,2249
South Carolina,SC,45045,Greenville County,"Greenville County, South Carolina",0.294,174224,2250
Wisconsin,WI,55061,Kewaunee County,"Kewaunee County, Wisconsin",0.294,8170,2251
Georgia,GA,13293,Upson County,"Upson County, Georgia",0.294,10213,2252
Kansas,KS,20123,Mitchell County,"Mitchell County, Kansas",0.294,2724,2253
Louisiana,LA,22103,St. Tammany Parish,"St. Tammany Parish, Louisiana",0.294,87896,2254
Iowa,IA,19153,Polk County,"Polk County, Iowa",0.293,171227,2255
Wisconsin,WI,55131,Washington County,"Washington County, Wisconsin",0.293,51881,2256
Texas,TX,48085,Collin County,"Collin County, Texas",0.293,283025,2257
Indiana,IN,18145,Shelby County,"Shelby County, Indiana",0.292,17124,2258
Michigan,MI,26043,Dickinson County,"Dickinson County, Michigan",0.291,11322,2259
Kansas,KS,20069,Gray County,"Gray County, Kansas",0.291,2060,2260
Indiana,IN,18051,Gibson County,"Gibson County, Indiana",0.291,13048,2261
Missouri,MO,29183,St. Charles County,"St. Charles County, Missouri",0.291,134693,2262
North Carolina,NC,37003,Alexander County,"Alexander County, North Carolina",0.291,13753,2263
Texas,TX,48491,Williamson County,"Williamson County, Texas",0.291,151352,2264
Arkansas,AR,5079,Lincoln County,"Lincoln County, Arkansas",0.291,4129,2265
Tennessee,TN,47147,Robertson County,"Robertson County, Tennessee",0.290,24105,2266
